date,channel,spend,clicks,emails_sent,impressions,revenue,conversions
2024-08-05,Email,304.2,549.9584009837233,10140.0,0.0,5680.66,47
2024-08-05,PPC,1491.04,744.0,0.0,0.0,7233.95,79
2024-08-05,Social Media,719.39,1002.0,0.0,71752.0,2030.09,22
2024-08-12,Email,479.19,821.2463723465212,15973.0,0.0,8072.7,65
2024-08-12,PPC,2253.23,1127.0,0.0,0.0,9672.89,97
2024-08-12,Social Media,989.4000000000001,1489.0,0.0,102519.0,2620.52,36
2024-08-19,Email,587.88,991.952974641188,19596.0,0.0,11338.210000000001,80
2024-08-19,PPC,2368.07,1184.0,0.0,0.0,11313.23,119
2024-08-19,Social Media,1047.09,1498.0,0.0,109343.0,2910.88,36
2024-08-26,Email,544.29,922.1460944167211,18143.0,0.0,11521.31,77
2024-08-26,PPC,2130.47,1065.0,0.0,0.0,10918.35,104
2024-08-26,Social Media,1098.05,1484.0,0.0,106893.0,2497.41,35
2024-09-02,Email,625.62,998.2859323620963,20854.0,0.0,10059.26,84
2024-09-02,PPC,2380.18,1191.0,0.0,0.0,13115.470000000001,124
2024-09-02,Social Media,1173.92,1863.0,0.0,123188.0,3116.54,41
2024-09-09,Email,485.90999999999997,902.6579684465021,16197.0,0.0,10063.91,75
2024-09-09,PPC,2403.91,1201.0,0.0,0.0,12925.689999999999,134
2024-09-09,Social Media,1199.42,1805.0,0.0,129448.0,2617.06,41
2024-09-16,Email,580.02,950.5808553158133,19334.0,0.0,9696.86,76
2024-09-16,PPC,2188.79,1095.0,0.0,0.0,10508.27,107
2024-09-16,Social Media,1064.03,1654.0,0.0,99194.0,3333.67,38
2024-09-23,Email,474.78,849.3677802016643,15826.0,0.0,7674.76,61
2024-09-23,PPC,2479.37,1239.0,0.0,0.0,11879.43,121
2024-09-23,Social Media,1178.9,2079.0,0.0,117407.0,4104.11,47
2024-09-30,Email,508.95,853.0459803883898,16965.0,0.0,8865.92,69
2024-09-30,PPC,2375.96,1188.0,0.0,0.0,12630.970000000001,121
2024-09-30,Social Media,1244.05,1949.0,0.0,127391.0,3318.1,48
2024-10-07,Email,493.34999999999997,805.8684222704849,16445.0,0.0,9315.529999999999,68
2024-10-07,PPC,2329.05,1165.0,0.0,0.0,11034.92,105
2024-10-07,Social Media,1152.4,2044.0,0.0,114343.0,3349.57,46
2024-10-14,Email,468.48,722.6768551486023,15616.0,0.0,8091.97,59
2024-10-14,PPC,2213.83,1106.0,0.0,0.0,9324.89,97
2024-10-14,Social Media,1190.28,1782.0,0.0,117532.0,3750.23,40
2024-10-21,Email,417.47999999999996,654.1934724049032,13916.0,0.0,6735.71,54
2024-10-21,PPC,2149.2799999999997,1075.0,0.0,0.0,10045.630000000001,97
2024-10-21,Social Media,1208.15,1761.0,0.0,115675.0,3059.94,38
2024-10-28,Email,447.36,739.3270693804111,14912.0,0.0,7676.07,54
2024-10-28,PPC,2239.01,1119.0,0.0,0.0,11820.12,113
2024-10-28,Social Media,1087.56,1325.0,0.0,106852.0,2616.16,28
2024-11-04,Email,356.21999999999997,607.5778294855841,11874.0,0.0,7766.09,52
2024-11-04,PPC,1953.43,976.0,0.0,0.0,7436.16,79
2024-11-04,Social Media,1060.24,1583.0,0.0,108056.0,2881.89,38
2024-11-11,Email,408.09,701.6129109508903,13603.0,0.0,7329.7,56
2024-11-11,PPC,1873.45,938.0,0.0,0.0,9883.57,100
2024-11-11,Social Media,1154.69,1731.0,0.0,116739.0,3129.2000000000003,41
2024-11-18,Email,426.53999999999996,663.0642962652722,14218.0,0.0,6767.53,55
2024-11-18,PPC,1874.15,936.0,0.0,0.0,9710.369999999999,98
2024-11-18,Social Media,1093.32,1725.0,0.0,113891.0,3123.46,43
2024-11-25,Email,477.87,804.5734159827872,15929.0,0.0,9439.789999999999,69
2024-11-25,PPC,2090.13,1045.0,0.0,0.0,11189.86,108
2024-11-25,Social Media,1072.42,1718.0,0.0,110603.0,2952.2599999999998,41
2024-12-02,Email,456.75,714.0771360567446,15225.0,0.0,6965.7699999999995,59
2024-12-02,PPC,1894.1100000000001,947.0,0.0,0.0,8850.05,93
2024-12-02,Social Media,1103.67,1637.0,0.0,107341.0,3029.1400000000003,38
2024-12-09,Email,440.94,817.3004314288823,14698.0,0.0,8688.5,67
2024-12-09,PPC,1894.77,947.0,0.0,0.0,10085.24,100
2024-12-09,Social Media,1008.0799999999999,1452.0,0.0,106475.0,3198.01,33
2024-12-16,Email,600.45,912.3960069472558,20015.0,0.0,9513.29,70
2024-12-16,PPC,1501.97,750.0,0.0,0.0,7817.64,83
2024-12-16,Social Media,1005.85,1365.0,0.0,98670.0,2582.5699999999997,31
2024-12-23,Email,506.28,926.6533086507243,16876.0,0.0,10452.77,78
2024-12-23,PPC,1813.01,906.0,0.0,0.0,8499.63,87
2024-12-23,Social Media,1046.8600000000001,1476.0,0.0,107876.0,2400.1,34
2024-12-30,Email,525.06,897.1909545585561,17502.0,0.0,9204.41,73
2024-12-30,PPC,1638.06,819.0,0.0,0.0,9023.24,84
2024-12-30,Social Media,860.25,1464.0,0.0,77459.0,2954.24,32
