date,conversion_id,channel,revenue
2024-08-01,CONV-1,PPC,73.8
2024-08-01,CONV-2,PPC,69.11
2024-08-01,CONV-3,PPC,75.05
2024-08-01,CONV-4,PPC,79.78
2024-08-01,CONV-5,PPC,58.87
2024-08-01,CONV-6,PPC,60.46
2024-08-01,CONV-7,PPC,22.24
2024-08-01,CONV-8,PPC,150.99
2024-08-01,CONV-9,PPC,67.84
2024-08-01,CONV-10,PPC,120.84
2024-08-01,CONV-11,PPC,266.65
2024-08-01,CONV-12,Email,141.56
2024-08-01,CONV-13,Email,130.2
2024-08-01,CONV-14,Email,76.78
2024-08-01,CONV-15,Email,91.87
2024-08-01,CONV-16,Email,75.34
2024-08-01,CONV-17,Email,117.35
2024-08-01,CONV-18,Email,165.24
2024-08-01,CONV-19,Email,99.51
2024-08-01,CONV-20,Email,81.11
2024-08-01,CONV-21,Social Media,44.2
2024-08-01,CONV-22,Social Media,75.14
2024-08-01,CONV-23,Social Media,47.45
2024-08-01,CONV-24,Social Media,101.23
2024-08-02,CONV-25,PPC,50.42
2024-08-02,CONV-26,PPC,57.21
2024-08-02,CONV-27,PPC,100.75
2024-08-02,CONV-28,PPC,196.8
2024-08-02,CONV-29,PPC,70.26
2024-08-02,CONV-30,PPC,97.65
2024-08-02,CONV-31,PPC,73.67
2024-08-02,CONV-32,PPC,134.21
2024-08-02,CONV-33,PPC,99.07
2024-08-02,CONV-34,PPC,106.61
2024-08-02,CONV-35,PPC,64.64
2024-08-02,CONV-36,PPC,35.94
2024-08-02,CONV-37,PPC,92.95
2024-08-02,CONV-38,PPC,81.95
2024-08-02,CONV-39,PPC,44.33
2024-08-02,CONV-40,PPC,62.9
2024-08-02,CONV-41,PPC,75.68
2024-08-02,CONV-42,PPC,105.65
2024-08-02,CONV-43,PPC,64.0
2024-08-02,CONV-44,PPC,91.73
2024-08-02,CONV-45,PPC,110.22
2024-08-02,CONV-46,PPC,159.39
2024-08-02,CONV-47,PPC,52.62
2024-08-02,CONV-48,PPC,95.75
2024-08-02,CONV-49,Email,158.36
2024-08-02,CONV-50,Email,103.73
2024-08-02,CONV-51,Email,93.36
2024-08-02,CONV-52,Email,104.0
2024-08-02,CONV-53,Email,109.07
2024-08-02,CONV-54,Email,99.08
2024-08-02,CONV-55,Email,139.01
2024-08-02,CONV-56,Email,72.53
2024-08-02,CONV-57,Social Media,89.75
2024-08-02,CONV-58,Social Media,238.41
2024-08-03,CONV-59,PPC,75.75
2024-08-03,CONV-60,PPC,44.4
2024-08-03,CONV-61,PPC,64.37
2024-08-03,CONV-62,PPC,56.35
2024-08-03,CONV-63,PPC,59.89
2024-08-03,CONV-64,PPC,75.38
2024-08-03,CONV-65,PPC,90.84
2024-08-03,CONV-66,PPC,116.77
2024-08-03,CONV-67,Email,116.24
2024-08-03,CONV-68,Email,88.35
2024-08-03,CONV-69,Email,111.95
2024-08-03,CONV-70,Email,107.02
2024-08-03,CONV-71,Email,91.1
2024-08-03,CONV-72,Email,224.7
2024-08-03,CONV-73,Email,111.54
2024-08-03,CONV-74,Email,76.73
2024-08-03,CONV-75,Social Media,110.18
2024-08-03,CONV-76,Social Media,119.78
2024-08-03,CONV-77,Social Media,45.7
2024-08-03,CONV-78,Social Media,94.87
2024-08-03,CONV-79,Social Media,75.06
2024-08-04,CONV-80,PPC,101.33
2024-08-04,CONV-81,PPC,98.57
2024-08-04,CONV-82,PPC,91.84
2024-08-04,CONV-83,PPC,135.16
2024-08-04,CONV-84,PPC,76.37
2024-08-04,CONV-85,PPC,37.84
2024-08-04,CONV-86,PPC,180.08
2024-08-04,CONV-87,PPC,260.46
2024-08-04,CONV-88,PPC,120.78
2024-08-04,CONV-89,PPC,43.05
2024-08-04,CONV-90,PPC,45.36
2024-08-04,CONV-91,PPC,149.58
2024-08-04,CONV-92,PPC,81.07
2024-08-04,CONV-93,PPC,55.95
2024-08-04,CONV-94,PPC,248.5
2024-08-04,CONV-95,PPC,47.41
2024-08-04,CONV-96,PPC,73.51
2024-08-04,CONV-97,PPC,42.48
2024-08-04,CONV-98,PPC,169.15
2024-08-04,CONV-99,PPC,50.54
2024-08-04,CONV-100,PPC,134.5
2024-08-04,CONV-101,PPC,92.47
2024-08-04,CONV-102,PPC,64.89
2024-08-04,CONV-103,Email,132.86
2024-08-04,CONV-104,Email,134.03
2024-08-04,CONV-105,Email,138.27
2024-08-04,CONV-106,Email,69.17
2024-08-04,CONV-107,Email,179.77
2024-08-04,CONV-108,Email,81.24
2024-08-04,CONV-109,Email,120.76
2024-08-04,CONV-110,Email,182.9
2024-08-04,CONV-111,Email,190.31
2024-08-04,CONV-112,Email,197.45
2024-08-04,CONV-113,Email,89.48
2024-08-04,CONV-114,Email,102.16
2024-08-04,CONV-115,Social Media,52.59
2024-08-04,CONV-116,Social Media,189.45
2024-08-04,CONV-117,Social Media,52.57
2024-08-04,CONV-118,Social Media,15.34
2024-08-04,CONV-119,Social Media,143.56
2024-08-04,CONV-120,Social Media,20.64
2024-08-05,CONV-121,PPC,70.42
2024-08-05,CONV-122,PPC,39.04
2024-08-05,CONV-123,PPC,52.01
2024-08-05,CONV-124,PPC,133.68
2024-08-05,CONV-125,PPC,53.62
2024-08-05,CONV-126,PPC,45.0
2024-08-05,CONV-127,PPC,51.06
2024-08-05,CONV-128,PPC,175.66
2024-08-05,CONV-129,PPC,89.2
2024-08-05,CONV-130,PPC,149.66
2024-08-05,CONV-131,PPC,141.22
2024-08-05,CONV-132,PPC,47.86
2024-08-05,CONV-133,PPC,30.85
2024-08-05,CONV-134,Email,69.76
2024-08-05,CONV-135,Email,195.27
2024-08-05,CONV-136,Email,247.82
2024-08-05,CONV-137,Email,59.5
2024-08-05,CONV-138,Email,157.86
2024-08-05,CONV-139,Email,174.75
2024-08-05,CONV-140,Email,162.43
2024-08-05,CONV-141,Email,99.32
2024-08-05,CONV-142,Email,66.56
2024-08-05,CONV-143,Email,43.26
2024-08-05,CONV-144,Social Media,223.6
2024-08-05,CONV-145,Social Media,113.08
2024-08-05,CONV-146,Social Media,40.27
2024-08-05,CONV-147,Social Media,77.84
2024-08-05,CONV-148,Social Media,59.38
2024-08-06,CONV-149,PPC,109.32
2024-08-06,CONV-150,PPC,33.43
2024-08-06,CONV-151,PPC,103.39
2024-08-06,CONV-152,PPC,127.78
2024-08-06,CONV-153,PPC,135.14
2024-08-06,CONV-154,PPC,98.51
2024-08-06,CONV-155,PPC,121.53
2024-08-06,CONV-156,PPC,58.82
2024-08-06,CONV-157,PPC,70.05
2024-08-06,CONV-158,PPC,68.08
2024-08-06,CONV-159,PPC,106.03
2024-08-06,CONV-160,PPC,82.78
2024-08-06,CONV-161,Email,98.93
2024-08-06,CONV-162,Email,120.93
2024-08-06,CONV-163,Email,50.34
2024-08-06,CONV-164,Email,97.43
2024-08-06,CONV-165,Email,119.26
2024-08-06,CONV-166,Email,67.08
2024-08-06,CONV-167,Email,118.84
2024-08-06,CONV-168,Email,71.25
2024-08-06,CONV-169,Email,227.07
2024-08-06,CONV-170,Social Media,53.49
2024-08-06,CONV-171,Social Media,72.2
2024-08-06,CONV-172,Social Media,29.51
2024-08-06,CONV-173,Social Media,119.27
2024-08-07,CONV-174,PPC,70.74
2024-08-07,CONV-175,PPC,57.28
2024-08-07,CONV-176,PPC,28.56
2024-08-07,CONV-177,PPC,133.31
2024-08-07,CONV-178,PPC,182.58
2024-08-07,CONV-179,PPC,128.16
2024-08-07,CONV-180,PPC,90.66
2024-08-07,CONV-181,PPC,76.59
2024-08-07,CONV-182,PPC,103.47
2024-08-07,CONV-183,PPC,121.98
2024-08-07,CONV-184,PPC,200.49
2024-08-07,CONV-185,PPC,130.45
2024-08-07,CONV-186,PPC,125.87
2024-08-07,CONV-187,PPC,235.26
2024-08-07,CONV-188,PPC,48.59
2024-08-07,CONV-189,PPC,107.15
2024-08-07,CONV-190,PPC,51.88
2024-08-07,CONV-191,PPC,75.85
2024-08-07,CONV-192,PPC,49.06
2024-08-07,CONV-193,PPC,75.03
2024-08-07,CONV-194,PPC,50.49
2024-08-07,CONV-195,Email,99.39
2024-08-07,CONV-196,Email,88.87
2024-08-07,CONV-197,Email,117.77
2024-08-07,CONV-198,Email,57.97
2024-08-07,CONV-199,Email,215.56
2024-08-07,CONV-200,Email,57.14
2024-08-07,CONV-201,Email,91.0
2024-08-07,CONV-202,Email,66.26
2024-08-07,CONV-203,Email,74.73
2024-08-07,CONV-204,Email,75.56
2024-08-07,CONV-205,Social Media,92.29
2024-08-07,CONV-206,Social Media,115.45
2024-08-07,CONV-207,Social Media,29.79
2024-08-08,CONV-208,PPC,59.74
2024-08-08,CONV-209,PPC,158.67
2024-08-08,CONV-210,PPC,25.8
2024-08-08,CONV-211,PPC,105.88
2024-08-08,CONV-212,PPC,26.6
2024-08-08,CONV-213,PPC,168.23
2024-08-08,CONV-214,PPC,25.01
2024-08-08,CONV-215,PPC,49.23
2024-08-08,CONV-216,PPC,72.83
2024-08-08,CONV-217,PPC,90.43
2024-08-08,CONV-218,PPC,260.78
2024-08-08,CONV-219,PPC,53.39
2024-08-08,CONV-220,PPC,139.75
